,Global Utility
Decision_Tree_pendigits_FOLD1,0.81796440056
SVM_pendigits_FOLD1,0.982613600841
LR_pendigits_FOLD3,0.799761786329
LR_pendigits_FOLD0,0.806030944202
MLP_pendigits_FOLD4,0.953502553237
MLP_pendigits_FOLD3,0.915943708889
SVM_pendigits_FOLD4,0.97673757721
MLP_pendigits_FOLD0,0.965237436036
MLP_pendigits_FOLD2,0.947943140728
SVM_pendigits_FOLD0,0.988392860655
Decision_Tree_pendigits_FOLD2,0.832222034965
KNN_pendigits_FOLD4,0.968057490703
LR_pendigits_FOLD4,0.831192182839
GaussianNB_pendigits_FOLD4,0.445276337948
GaussianNB_pendigits_FOLD2,0.430322118861
Decision_Tree_pendigits_FOLD3,0.802949811296
LR_pendigits_FOLD2,0.791412792256
SVM_pendigits_FOLD2,0.979746959132
MLP_pendigits_FOLD1,0.94506165335
KNN_pendigits_FOLD1,0.98264081659
GaussianNB_pendigits_FOLD3,0.478178318701
GaussianNB_pendigits_FOLD0,0.511365166809
Decision_Tree_pendigits_FOLD0,0.869780428649
KNN_pendigits_FOLD3,0.991272328958
LR_pendigits_FOLD1,0.840746026686
KNN_pendigits_FOLD2,0.965348245785
GaussianNB_pendigits_FOLD1,0.476267123626
Decision_Tree_pendigits_FOLD4,0.814015964564
SVM_pendigits_FOLD3,0.979659378669
KNN_pendigits_FOLD0,0.979730301027
